RID,PAGE_DISPLAY_1,PAGE_SUBMIT_1,PAGE_DISPLAY_2,PAGE_SUBMIT_2,PAGE_DISPLAY_3,PAGE_SUBMIT_3,PAGE_DISPLAY_4,PAGE_SUBMIT_4,PAGE_DISPLAY_5,PAGE_SUBMIT_5,PAGE_DISPLAY_6,PAGE_SUBMIT_6,PAGE_DISPLAY_7,PAGE_SUBMIT_7,PAGE_DISPLAY_8,PAGE_SUBMIT_8,PAGE_DISPLAY_9,PAGE_SUBMIT_9,PAGE_DISPLAY_10,PAGE_SUBMIT_10,PAGE_DISPLAY_11,PAGE_SUBMIT_11,PAGE_DISPLAY_12,PAGE_SUBMIT_12,PAGE_DISPLAY_13,PAGE_SUBMIT_13,PAGE_DISPLAY_14,PAGE_SUBMIT_14,PAGE_DISPLAY_15,PAGE_SUBMIT_15,PAGE_DISPLAY_16,PAGE_SUBMIT_16,PAGE_DISPLAY_17,PAGE_SUBMIT_17,PAGE_DISPLAY_18,PAGE_SUBMIT_18,PAGE_DISPLAY_19,PAGE_SUBMIT_19,PAGE_DISPLAY_20,PAGE_SUBMIT_20,PAGE_DISPLAY_21,PAGE_SUBMIT_21,PAGE_DISPLAY_22,PAGE_SUBMIT_22,PAGE_DISPLAY_23,PAGE_SUBMIT_23,PAGE_DISPLAY_24,PAGE_SUBMIT_24
2,0.239207029342651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0699260234832764,5.82471799850464,5.82748198509216,10.1205348968506,10.121798992157,17.2127430438995,17.2138168811798,19.1589169502258,19.1601338386536,21.8933680057526,21.8950159549713,25.2164390087128,25.2178499698639,27.7223310470581,27.7236540317535,29.7729370594025,29.7739479541779,32.5377628803253,32.5388998985291,35.1955058574677,35.2005789279938,37.5348119735718,37.5386650562286,39.6321258544922,39.6355679035187,41.3561420440674,41.3596930503845,43.3673319816589,43.3711898326874,45.8201818466187,45.8266718387604,49.1615478992462,49.1721739768982,50.9338359832764,50.9402520656586,,,,,,,,,,,,,
7,0.114105939865112,3.59925484657288,3.60215997695923,7.32675790786743,11.9841768741608,16.6588180065155,16.660003900528,18.7379369735718,18.739177942276,21.7133219242096,21.7148239612579,24.9502489566803,24.9516298770905,27.2444458007812,27.245787858963,29.3836719989777,29.3846919536591,31.7879369258881,31.7890667915344,34.7350149154663,34.7386028766632,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.416923046112061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.112375020980835,19.2735579013824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2766509056091,,,
8,0.0813069343566895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.137286901473999,12.9826619625092,12.9854137897491,19.1791548728943,19.1803858280182,34.0203349590302,34.0214529037476,83.0415539741516,83.0438759326935,94.4287159442902,94.4307148456573,107.883212804794,107.884601831436,121.7243039608,121.725857973099,130.961208820343,130.962188959122,151.501275777817,151.502342939377,178.589030981064,178.590101003647,189.56288599968,189.566499948502,212.11288690567,212.117366790771,223.363979816437,223.367956876755,233.362701892853,233.366212844849,242.107123851776,242.111263990402,258.052280902863,258.057541847229,271.226477861404,,271.239561796188,271.245663881302,319.797534942627,319.799467802048,335.069531917572,335.071232795715,396.941201925278,396.942688941956,439.793576955795,439.79473900795,443.003178834915,,
17,0.257712125778198,17.7501690387726,17.7528240680695,59.1447892189026,59.1462762355804,78.4813561439514,78.4823741912842,111.325147151947,111.326398134232,115.345555067062,115.347085237503,123.778475046158,123.779847145081,131.634636163712,131.636000156403,137.248377084732,137.24942111969,152.212311029434,152.213291168213,165.767904043198,165.768923044205,174.970488071442,174.973914146423,190.208989143372,190.213305234909,195.11022901535,195.113837003708,199.507400035858,199.510941028595,203.826067209244,203.830208063126,214.536690235138,214.542273044586,219.306915044785,219.317278146744,223.575065135956,223.581956148148,237.450287103653,237.451795101166,243.023848056793,243.025799036026,260.708372116089,266.223996162415,273.309725999832,273.310861110687,275.655026197433,,
15,0.226061105728149,10.4965250492096,10.4994370937347,16.2689461708069,16.2702000141144,29.7627720832825,29.7638599872589,77.0950560569763,77.0962741374969,86.2324390411377,86.2339100837708,99.0156331062317,99.0170831680298,111.258157014847,111.259582996368,117.606572151184,117.607547044754,132.047267198563,132.048201084137,165.632850170135,165.63383603096,182.898740053177,182.902403116226,201.185503005981,201.189467191696,213.440407037735,213.443958997726,229.869510173798,229.873053073883,244.836006164551,244.839845180511,251.707014083862,251.71218419075,266.891509056091,,266.904074192047,266.910248994827,293.350151062012,293.351688146591,300.886245965958,300.887951135635,327.320410966873,333.845842123032,343.926916122437,343.927985191345,346.898979187012,,
21,0.261788129806519,13.6708869934082,13.6733400821686,18.5384030342102,18.5400521755219,30.4507100582123,30.4518721103668,56.6091260910034,56.6104001998901,63.7963900566101,63.7979140281677,81.8213951587677,81.8228220939636,91.0555250644684,91.0569751262665,103.585317134857,103.586331129074,114.105070114136,114.106153011322,131.081045150757,131.081976175308,151.924888134003,151.928795099258,170.196961164474,170.200414180756,178.176967144012,178.18056511879,184.668251037598,184.67178106308,190.299164056778,190.303106069565,201.704777002335,201.709990978241,212.055927991867,,212.067898988724,212.073842048645,245.971559047699,245.973323106766,256.48341012001,256.485290050507,271.243839025497,275.371405124664,280.940716981888,280.941833972931,283.264712095261,,
22,0.342000961303711,6.27729201316833,6.28019380569458,12.3208169937134,12.3221340179443,22.9246788024902,22.9258289337158,36.4079959392548,36.4094278812408,42.7961299419403,42.797641992569,54.9687929153442,54.9702179431915,61.8740158081055,61.8753709793091,69.056893825531,69.0579528808594,80.3919239044189,80.3929228782654,107.193022012711,107.194017887115,110.84725689888,110.851048946381,119.098390817642,119.102230787277,131.146914958954,131.150322914124,140.489151000977,140.494158983231,148.696199893951,148.700224876404,157.937065839767,157.942410945892,163.057382822037,,163.068821907043,163.074457883835,186.50692987442,186.508399963379,195.940231800079,229.133626937866,260.321137905121,265.997136831284,273.41481089592,273.41596698761,275.3700299263,,
23,0.185389995574951,9.18621301651001,9.18888211250305,15.0325491428375,15.0338230133057,27.4110400676727,27.4122240543365,39.8066899776459,39.8080189228058,45.5894570350647,45.591402053833,54.6382780075073,54.6396949291229,60.4880261421204,60.4894630908966,67.5609049797058,67.5618720054626,70.8997800350189,70.9006409645081,77.1164901256561,77.1175689697266,123.67217206955,123.675925970078,127.490483045578,127.49399805069,143.7863509655,143.790243148804,150.633363962173,150.640727996826,157.614107131958,157.618350982666,164.589398145676,164.594574928284,173.761011123657,,173.77226805687,173.777846097946,195.754735946655,195.756686925888,206.798881053925,206.800801992416,228.588735103607,236.205275058746,242.836468935013,242.837649106979,244.843585968018,,
