RID,VERSION,STATUS,IP,HTTP_URL,SESSION,START,DURATION,SRC,EXTID,consent,q2,q3,q4,q5,q89_1,q89_2,q7,q89_3,q89_4,q8,bid_random,bid,q9,q10,q11,q11_other,block,design_offset,q16_1,q16_2,q16_3,q16_4,q16_5,q16_6,q16_7,q17_1,q17_2,q18,q19,q20,q20_other,q21,q22,q23,q24
48,3,7,Anonymised,Anonymised,Anonymised,1655299886.9687,353.361,Prolific,Anonymised,1,1,1,Anonymised,1,3,2,2,-3,5,6,7,£50.00,1,,,Anonymised,2,4,11,7,11,6,9,10,11,4,3,2,2,2,Anonymised,4,5,10,Anonymised
35,3,7,Anonymised,Anonymised,Anonymised,1655299871.2399,372.395,Prolific,Anonymised,1,1,1,Anonymised,1,3,-4,2,-1,-1,5,1,£1.00,1,,,Anonymised,1,0,11,8,9,11,11,11,11,5,3,1,2,1,Anonymised,5,1,10,Anonymised
68,3,7,Anonymised,Anonymised,Anonymised,1655299961.93555,283.621,Prolific,Anonymised,1,2,1,Anonymised,1,3,2,2,1,5,8,7,£50.00,1,,,Anonymised,1,0,10,7,10,7,10,11,11,3,3,1,1,2,Anonymised,5,10,10,Anonymised
50,3,7,Anonymised,Anonymised,Anonymised,1655299892.93581,365.414,Prolific,Anonymised,1,1,1,Anonymised,1,2,1,3,1,2,4,2,£5.00,1,,,Anonymised,2,4,11,7,11,8,8,9,9,3,3,1,1,2,Anonymised,5,4,9,Anonymised
28,3,7,Anonymised,Anonymised,Anonymised,1655299850.44319,412.273,Prolific,Anonymised,1,1,1,Anonymised,1,2,0,1,0,0,4,2,£5.00,2,,2,Anonymised,1,0,6,4,4,4,4,4,4,3,3,2,2,2,Anonymised,4,5,10,Anonymised
41,3,7,Anonymised,Anonymised,Anonymised,1655299875.02612,390.242,Prolific,Anonymised,1,2,2,Anonymised,1,2,3,2,1,1,7,3,£10.00,1,,,Anonymised,1,0,9,7,8,7,9,10,10,3,3,1,2,1,Anonymised,4,5,10,Anonymised
31,3,7,Anonymised,Anonymised,Anonymised,1655299859.55773,407.525,Prolific,Anonymised,1,1,1,Anonymised,1,4,4,2,1,5,12,4,£20.00,,1,,Anonymised,2,4,11,10,10,10,9,10,11,5,3,2,2,1,Anonymised,5,4,10,Anonymised
36,3,7,Anonymised,Anonymised,Anonymised,1655299872.27688,397.279,Prolific,Anonymised,1,1,1,Anonymised,1,4,3,2,4,4,5,4,£20.00,1,,,Anonymised,1,0,10,8,10,9,10,10,10,4,3,1,1,1,Anonymised,5,8,10,Anonymised
27,3,7,Anonymised,Anonymised,Anonymised,1655299850.0171,427.223,Prolific,Anonymised,1,1,1,Anonymised,1,4,2,3,0,5,2,5,£30.00,1,,,Anonymised,2,4,11,10,9,9,9,10,11,3,3,2,2,1,Anonymised,5,1,10,Anonymised
23,3,7,Anonymised,Anonymised,Anonymised,1655299833.12457,445.154,Prolific,Anonymised,1,1,1,Anonymised,1,-1,0,1,0,3,2,9,£70.00,2,,1,Anonymised,1,0,7,2,6,4,6,6,7,3,3,2,2,1,Anonymised,3,2,10,Anonymised
80,3,7,Anonymised,Anonymised,Anonymised,1655300100.09268,190.563,Prolific,Anonymised,1,2,2,Anonymised,1,2,2,2,2,4,5,8,£60.00,1,,,Anonymised,2,4,10,8,9,7,11,11,11,4,3,1,2,1,Anonymised,5,7,10,Anonymised
62,3,7,Anonymised,Anonymised,Anonymised,1655299930.44152,361.783,Prolific,Anonymised,1,1,1,Anonymised,1,4,2,3,2,5,12,8,£60.00,,1,,Anonymised,2,4,11,8,11,8,9,10,11,3,3,2,2,1,Anonymised,4,1,5,Anonymised
32,3,7,Anonymised,Anonymised,Anonymised,1655299860.25719,433.707,Prolific,Anonymised,1,1,1,Anonymised,1,2,4,2,3,3,12,5,£30.00,,1,,Anonymised,1,0,11,9,9,7,9,10,10,3,3,1,1,1,Anonymised,5,4,10,Anonymised
9,3,7,Anonymised,Anonymised,Anonymised,1655299699.29523,594.925,Prolific,Anonymised,1,2,1,Anonymised,5,3,2,3,1,1,12,2,£5.00,,2,2,Anonymised,1,0,7,6,5,5,7,7,7,4,3,2,2,1,Anonymised,5,10,7,Anonymised
75,3,7,Anonymised,Anonymised,Anonymised,1655300029.53285,277.136,Prolific,Anonymised,1,3,2,Anonymised,1,3,2,2,0,0,3,10,£80.00,1,,,Anonymised,2,4,10,10,9,9,10,10,10,4,3,2,2,2,Anonymised,5,4,9,Anonymised
24,3,7,Anonymised,Anonymised,Anonymised,1655299844.1326,463.282,Prolific,Anonymised,1,1,5,Anonymised,1,5,5,1,5,5,11,6,£40.00,1,,,Anonymised,2,4,11,11,11,9,11,11,11,3,3,2,1,1,Anonymised,4,7,10,Anonymised
43,3,7,Anonymised,Anonymised,Anonymised,1655299876.71676,434.278,Prolific,Anonymised,1,1,1,Anonymised,1,4,3,2,3,4,6,6,£40.00,1,,,Anonymised,1,0,11,4,10,7,11,11,11,4,4,2,2,1,Anonymised,5,8,10,Anonymised
65,3,7,Anonymised,Anonymised,Anonymised,1655299957.47543,357.954,Prolific,Anonymised,1,2,1,Anonymised,1,3,3,2,2,0,5,5,£30.00,1,,,Anonymised,2,4,11,7,9,8,9,10,11,3,3,1,1,1,Anonymised,5,4,10,Anonymised
69,3,7,Anonymised,Anonymised,Anonymised,1655299992.54749,322.902,Prolific,Anonymised,1,1,1,Anonymised,1,3,2,2,-1,5,5,3,£10.00,1,,,Anonymised,1,0,11,10,10,9,11,11,11,3,4,1,1,1,Anonymised,5,2,8,Anonymised
55,3,7,Anonymised,Anonymised,Anonymised,1655299909.50469,419.907,Prolific,Anonymised,1,1,1,Anonymised,1,4,4,2,4,4,6,2,£5.00,1,,,Anonymised,1,0,11,8,8,10,10,10,11,3,3,1,2,1,Anonymised,4,1,10,Anonymised
67,3,7,Anonymised,Anonymised,Anonymised,1655299960.04887,403.347,Prolific,Anonymised,1,2,5,Anonymised,1,4,5,1,5,5,6,9,£70.00,1,,,Anonymised,1,0,11,8,10,8,11,11,11,3,3,2,1,1,Anonymised,5,7,10,Anonymised
14,3,7,Anonymised,Anonymised,Anonymised,1655299799.19393,565.362,Prolific,Anonymised,1,1,1,Anonymised,1,2,0,4,0,4,12,4,£20.00,,2,5,Anonymised,2,4,11,3,7,4,6,6,6,3,3,2,2,1,Anonymised,4,1,10,Anonymised
42,3,7,Anonymised,Anonymised,Anonymised,1655299875.91761,490.525,Prolific,Anonymised,1,1,1,Anonymised,1,2,2,3,2,5,12,1,£1.00,,1,,Anonymised,2,4,11,7,9,7,8,9,10,3,3,2,2,2,Anonymised,2,9,10,Anonymised
51,3,7,Anonymised,Anonymised,Anonymised,1655299893.09298,484.539,Prolific,Anonymised,1,1,1,Anonymised,1,3,3,3,3,5,8,3,£10.00,1,,,Anonymised,1,0,3,1,9,8,6,6,6,3,3,2,2,1,Anonymised,5,6,10,Anonymised
34,3,7,Anonymised,Anonymised,Anonymised,1655299864.53399,519.851,Prolific,Anonymised,1,1,1,Anonymised,1,3,3,2,2,4,5,8,£60.00,1,,,Anonymised,1,0,9,3,7,3,8,9,10,3,4,1,2,1,Anonymised,4,4,10,Anonymised
38,3,7,Anonymised,Anonymised,Anonymised,1655299873.24222,515.248,Prolific,Anonymised,1,2,3,Anonymised,1,3,4,2,2,2,8,8,£60.00,2,,1,Anonymised,1,0,11,9,11,9,10,11,11,3,3,1,1,2,Anonymised,4,6,9,Anonymised
66,3,7,Anonymised,Anonymised,Anonymised,1655299959.34998,433.779,Prolific,Anonymised,1,1,3,Anonymised,1,2,2,2,4,4,2,5,£30.00,2,,1,Anonymised,2,4,2,10,8,4,4,4,5,3,3,1,2,2,Anonymised,2,3,10,Anonymised
57,3,7,Anonymised,Anonymised,Anonymised,1655299911.8681,481.571,Prolific,Anonymised,1,2,3,Anonymised,3,-1,2,2,1,0,4,3,£10.00,1,,,Anonymised,2,4,10,9,9,8,10,10,10,4,4,2,2,1,Anonymised,3,4,9,Anonymised
33,3,7,Anonymised,Anonymised,Anonymised,1655299862.7123,535.074,Prolific,Anonymised,1,1,1,Anonymised,1,3,1,2,0,2,12,4,£20.00,,1,,Anonymised,2,4,11,9,11,9,8,9,10,3,3,2,1,1,Anonymised,5,2,10,Anonymised
63,3,7,Anonymised,Anonymised,Anonymised,1655299947.78992,454.239,Prolific,Anonymised,1,2,1,Anonymised,1,3,3,2,1,4,4,9,£70.00,1,,,Anonymised,1,0,11,9,9,9,11,11,11,3,3,2,2,1,Anonymised,5,7,10,Anonymised
60,3,7,Anonymised,Anonymised,Anonymised,1655299921.43062,487.742,Prolific,Anonymised,1,1,1,Anonymised,1,1,1,3,1,3,12,7,£50.00,,1,,Anonymised,2,4,10,10,10,8,9,9,9,3,3,1,2,1,Anonymised,4,8,9,Anonymised
74,3,7,Anonymised,Anonymised,Anonymised,1655300019.21607,404.504,Prolific,Anonymised,1,1,3,Anonymised,4,5,2,1,3,4,11,10,£80.00,1,,,Anonymised,1,0,11,9,11,11,11,11,11,5,5,2,1,1,Anonymised,5,4,10,Anonymised
19,3,7,Anonymised,Anonymised,Anonymised,1655299816.30669,609.542,Prolific,Anonymised,1,2,2,Anonymised,1,0,1,2,1,1,12,1,£1.00,,1,,Anonymised,1,0,9,7,7,6,7,8,9,3,3,2,2,1,Anonymised,3,10,10,Anonymised
64,3,7,Anonymised,Anonymised,Anonymised,1655299951.30377,496.226,Prolific,Anonymised,1,1,4,Anonymised,1,3,4,2,4,4,3,4,£20.00,1,,,Anonymised,1,0,10,8,10,9,11,11,11,4,4,1,1,2,Anonymised,3,7,9,Anonymised
73,3,7,Anonymised,Anonymised,Anonymised,1655300018.38481,442.138,Prolific,Anonymised,1,2,2,Anonymised,1,0,1,2,1,2,3,1,£1.00,1,,,Anonymised,1,0,8,6,7,7,9,9,10,3,3,1,2,1,Anonymised,4,6,5,Anonymised
79,3,7,Anonymised,Anonymised,Anonymised,1655300096.90925,386.854,Prolific,Anonymised,1,2,5,Anonymised,1,3,3,2,1,4,4,3,£10.00,1,,,Anonymised,1,0,9,8,8,7,8,9,9,4,4,2,2,1,Anonymised,5,2,9,Anonymised
71,3,7,Anonymised,Anonymised,Anonymised,1655300011.86906,472.912,Prolific,Anonymised,1,2,2,Anonymised,1,3,4,2,1,1,5,7,£50.00,1,,,Anonymised,1,0,10,9,11,9,7,8,9,5,3,1,1,1,Anonymised,3,8,6,Anonymised
16,3,7,Anonymised,Anonymised,Anonymised,1655299803.6724,691.101,Prolific,Anonymised,1,2,1,Anonymised,1,2,3,2,2,2,5,10,£80.00,1,,,Anonymised,1,0,11,9,8,7,9,10,10,4,3,2,1,1,Anonymised,5,7,8,Anonymised
81,3,7,Anonymised,Anonymised,Anonymised,1655300105.615,393.974,Prolific,Anonymised,1,1,2,Anonymised,3,3,4,2,3,3,11,1,£1.00,1,,,Anonymised,1,0,9,9,9,10,11,10,11,5,4,1,1,2,Anonymised,5,9,9,Anonymised
44,3,7,Anonymised,Anonymised,Anonymised,1655299876.90945,624.204,Prolific,Anonymised,1,1,1,Anonymised,1,4,3,2,2,1,6,8,£60.00,1,,,Anonymised,1,0,11,9,11,8,8,9,9,4,4,1,2,1,Anonymised,5,8,10,Anonymised
89,3,7,Anonymised,Anonymised,Anonymised,1655300209.69999,333.117,Prolific,Anonymised,1,2,2,Anonymised,1,3,1,2,2,2,5,10,£80.00,2,,1,Anonymised,2,4,9,7,8,6,9,9,9,3,3,1,2,1,Anonymised,3,2,10,Anonymised
84,3,7,Anonymised,Anonymised,Anonymised,1655300139.8149,410.526,Prolific,Anonymised,1,2,1,Anonymised,2,1,3,2,-1,3,12,3,£10.00,,1,,Anonymised,2,4,11,11,8,8,9,10,10,4,3,2,1,1,Anonymised,4,10,8,Anonymised
88,3,7,Anonymised,Anonymised,Anonymised,1655300176.5236,377.423,Prolific,Anonymised,1,1,1,Anonymised,3,2,2,2,2,2,12,2,£5.00,,2,1,Anonymised,1,0,9,9,9,9,9,9,9,4,4,2,2,1,Anonymised,4,10,9,Anonymised
82,3,7,Anonymised,Anonymised,Anonymised,1655300125.08903,430.374,Prolific,Anonymised,1,2,1,Anonymised,1,3,3,3,2,4,12,7,£50.00,,1,,Anonymised,1,0,10,8,9,8,10,10,10,4,3,2,2,1,Anonymised,4,10,10,Anonymised
97,3,7,Anonymised,Anonymised,Anonymised,1655300282.92572,281.07,Prolific,Anonymised,1,2,2,Anonymised,1,3,3,2,3,3,12,5,£30.00,,1,,Anonymised,2,4,10,10,10,10,10,10,10,4,3,1,1,1,Anonymised,4,1,9,Anonymised
94,3,7,Anonymised,Anonymised,Anonymised,1655300267.69462,297.198,Prolific,Anonymised,1,2,3,Anonymised,1,1,1,3,1,1,6,4,£20.00,2,,5,Anonymised,2,4,11,8,9,8,10,11,11,5,3,2,2,2,Anonymised,5,9,7,Anonymised
39,3,7,Anonymised,Anonymised,Anonymised,1655299873.89795,692.446,Prolific,Anonymised,1,1,1,Anonymised,1,2,2,2,-2,5,5,1,£1.00,1,,,Anonymised,2,4,11,6,9,8,5,7,9,4,4,2,2,2,Anonymised,5,9,10,Anonymised
83,3,7,Anonymised,Anonymised,Anonymised,1655300135.07249,431.841,Prolific,Anonymised,1,2,2,Anonymised,1,1,1,3,0,3,7,2,£5.00,1,,,Anonymised,2,4,10,9,8,7,7,8,8,3,3,2,1,2,Anonymised,5,6,7,Anonymised
98,3,7,Anonymised,Anonymised,Anonymised,1655300294.53674,275.062,Prolific,Anonymised,1,2,2,Anonymised,1,4,4,1,4,4,11,1,£1.00,1,,,Anonymised,2,4,7,7,10,9,9,10,10,3,3,2,1,2,Anonymised,4,9,10,Anonymised
30,3,7,Anonymised,Anonymised,Anonymised,1655299857.98624,734.629,Prolific,Anonymised,1,1,1,Anonymised,1,2,4,2,4,5,6,6,£40.00,1,,,Anonymised,2,4,11,5,11,8,11,11,11,4,4,2,2,1,Anonymised,5,7,10,Anonymised
90,3,7,Anonymised,Anonymised,Anonymised,1655300229.74707,364.187,Prolific,Anonymised,1,1,1,Anonymised,5,0,0,4,-1,-1,12,3,£10.00,,2,1,Anonymised,1,0,2,2,6,1,6,6,6,3,3,2,2,2,Anonymised,3,4,4,Anonymised
53,3,7,Anonymised,Anonymised,Anonymised,1655299898.4523,701.011,Prolific,Anonymised,1,1,1,Anonymised,3,3,4,2,4,3,6,4,£20.00,1,,,Anonymised,1,0,10,9,11,11,10,10,9,4,3,1,2,1,Anonymised,4,5,10,Anonymised
76,3,7,Anonymised,Anonymised,Anonymised,1655300037.36448,562.499,Prolific,Anonymised,1,2,5,Anonymised,1,2,3,2,3,3,3,9,£70.00,2,,2,Anonymised,1,0,6,6,6,6,6,8,8,3,3,1,2,2,Anonymised,3,5,7,Anonymised
70,3,7,Anonymised,Anonymised,Anonymised,1655300000.72513,613.167,Prolific,Anonymised,1,1,1,Anonymised,1,3,4,3,2,5,6,5,£30.00,2,,4,Anonymised,1,0,11,7,11,8,8,9,10,3,4,1,2,2,Anonymised,5,8,10,Anonymised
72,3,7,Anonymised,Anonymised,Anonymised,1655300015.16363,602.145,Prolific,Anonymised,1,2,6,Anonymised,1,-1,-2,3,0,2,3,9,£70.00,2,,2,Anonymised,2,4,7,6,8,7,9,9,9,3,4,2,2,1,Anonymised,5,3,10,Anonymised
91,3,7,Anonymised,Anonymised,Anonymised,1655300234.45571,408.225,Prolific,Anonymised,1,2,1,Anonymised,1,2,1,4,1,1,4,10,£80.00,1,,,Anonymised,1,0,9,9,8,7,5,5,5,3,3,1,2,1,Anonymised,5,7,4,Anonymised
103,3,7,Anonymised,Anonymised,Anonymised,1655300333.03845,310.59,Prolific,Anonymised,1,1,1,Anonymised,3,2,3,2,3,3,12,10,£80.00,,1,,Anonymised,2,4,11,10,9,8,9,10,11,4,3,1,2,1,Anonymised,5,10,9,Anonymised
96,3,7,Anonymised,Anonymised,Anonymised,1655300281.5406,367.668,Prolific,Anonymised,1,2,2,Anonymised,1,2,3,3,0,3,12,9,£70.00,,1,,Anonymised,1,0,9,7,8,6,7,9,7,3,3,1,2,1,Anonymised,3,7,10,Anonymised
58,3,7,Anonymised,Anonymised,Anonymised,1655299916.08657,737.999,Prolific,Anonymised,1,1,1,Anonymised,1,4,4,2,0,5,12,10,£80.00,,2,4,Anonymised,2,4,10,3,9,9,9,9,10,3,3,2,2,2,Anonymised,2,5,10,Anonymised
114,3,7,Anonymised,Anonymised,Anonymised,1655300386.5875,325.05,Prolific,Anonymised,1,2,2,Anonymised,1,3,2,1,2,3,4,6,£40.00,1,,,Anonymised,2,4,11,6,8,8,11,9,11,3,3,1,2,2,Anonymised,4,4,10,Anonymised
132,4,7,Anonymised,Anonymised,Anonymised,1655300491.10966,220.609,Prolific,Anonymised,1,2,3,Anonymised,1,3,2,2,2,1,6,6,£40.00,1,,,Anonymised,1,0,7,5,9,8,10,9,9,3,3,2,1,2,Anonymised,5,7,9,Anonymised
126,4,7,Anonymised,Anonymised,Anonymised,1655300457.27969,258.944,Prolific,Anonymised,1,2,2,Anonymised,1,3,4,2,4,5,10,10,£80.00,1,,,Anonymised,2,4,10,11,11,10,11,11,11,4,4,1,1,1,Anonymised,5,5,9,Anonymised
102,3,7,Anonymised,Anonymised,Anonymised,1655300324.50093,394.844,Prolific,Anonymised,1,2,1,Anonymised,1,2,0,2,0,0,4,10,£80.00,2,,1,Anonymised,2,4,10,7,10,6,7,9,10,4,5,2,2,1,Anonymised,4,4,9,Anonymised
87,3,7,Anonymised,Anonymised,Anonymised,1655300158.31427,576.661,Prolific,Anonymised,1,2,2,Anonymised,1,0,0,2,4,3,9,5,£30.00,1,,,Anonymised,1,0,11,8,10,8,8,9,9,5,3,1,2,1,Anonymised,5,6,10,Anonymised
120,3,7,Anonymised,Anonymised,Anonymised,1655300433.01498,302.438,Prolific,Anonymised,1,2,2,Anonymised,1,1,2,2,1,2,5,6,£40.00,1,,,Anonymised,1,0,5,1,3,5,4,9,10,1,1,1,2,1,Anonymised,3,3,10,Anonymised
133,4,7,Anonymised,Anonymised,Anonymised,1655300491.25052,247.383,Prolific,Anonymised,1,2,2,Anonymised,1,5,5,2,5,5,12,3,£10.00,,1,,Anonymised,1,0,11,11,11,11,11,11,11,3,3,2,1,1,Anonymised,5,7,10,Anonymised
123,4,7,Anonymised,Anonymised,Anonymised,1655300436.45752,317.594,Prolific,Anonymised,1,2,3,Anonymised,1,2,3,2,0,3,5,1,£1.00,1,,,Anonymised,2,4,11,8,11,10,11,11,11,3,3,1,2,1,Anonymised,3,7,10,Anonymised
52,3,7,Anonymised,Anonymised,Anonymised,1655299895.11225,864.423,Prolific,Anonymised,1,1,1,Anonymised,1,2,3,3,1,4,4,8,£60.00,1,,,Anonymised,2,4,11,8,10,8,10,10,10,3,3,1,1,1,Anonymised,5,1,10,Anonymised
113,3,7,Anonymised,Anonymised,Anonymised,1655300382.13965,389.616,Prolific,Anonymised,1,1,2,Anonymised,1,2,1,2,0,0,4,5,£30.00,1,,,Anonymised,2,4,11,8,10,9,9,10,11,3,3,2,1,2,Anonymised,4,10,10,Anonymised
85,3,7,Anonymised,Anonymised,Anonymised,1655300142.70655,630.57,Prolific,Anonymised,1,2,2,Anonymised,3,2,3,1,3,3,5,9,£70.00,2,,2,Anonymised,2,4,9,6,9,6,9,9,9,2,3,2,2,1,Anonymised,5,7,10,Anonymised
107,3,7,Anonymised,Anonymised,Anonymised,1655300354.96014,421.094,Prolific,Anonymised,1,2,1,Anonymised,1,2,3,2,2,1,12,6,£40.00,,2,1,Anonymised,1,0,11,9,10,5,8,8,7,4,3,2,2,1,Anonymised,4,9,8,Anonymised
110,3,7,Anonymised,Anonymised,Anonymised,1655300362.12068,422.339,Prolific,Anonymised,1,2,4,Anonymised,1,3,5,2,5,5,9,5,£30.00,1,,,Anonymised,1,0,11,7,11,7,11,11,11,3,3,1,2,1,Anonymised,3,2,10,Anonymised
155,4,7,Anonymised,Anonymised,Anonymised,1655300604.18582,184.901,Prolific,Anonymised,1,2,3,Anonymised,1,2,3,3,2,2,4,6,£40.00,1,,,Anonymised,2,4,9,8,8,8,10,10,10,3,3,1,2,1,Anonymised,5,8,10,Anonymised
154,4,7,Anonymised,Anonymised,Anonymised,1655300593.9667,202.615,Prolific,Anonymised,1,2,1,Anonymised,1,4,2,4,0,5,4,5,£30.00,1,,,Anonymised,1,0,11,8,10,8,8,8,9,3,3,1,1,1,Anonymised,4,10,9,Anonymised
105,3,7,Anonymised,Anonymised,Anonymised,1655300352.56639,449.201,Prolific,Anonymised,1,2,5,Anonymised,1,3,4,2,4,4,4,7,£50.00,1,,,Anonymised,2,4,10,10,10,10,11,11,11,5,5,2,2,1,Anonymised,5,3,10,Anonymised
128,4,7,Anonymised,Anonymised,Anonymised,1655300464.48978,342.904,Prolific,Anonymised,1,1,2,Anonymised,1,2,1,3,3,4,9,2,£5.00,1,,,Anonymised,2,4,11,9,9,7,10,10,11,3,5,1,1,1,Anonymised,5,6,10,Anonymised
92,3,7,Anonymised,Anonymised,Anonymised,1655300258.3626,556.48,Prolific,Anonymised,1,2,1,Anonymised,1,1,2,2,1,3,12,10,£80.00,,2,4,Anonymised,1,0,10,10,7,5,9,7,7,3,4,2,2,1,Anonymised,5,7,10,Anonymised
