RID,VERSION,STATUS,IP,HTTP_URL,SESSION,START,DURATION,SRC,EXTID,consent,q2,q3,q4,q5,q89_1,q89_2,q7,q89_3,q89_4,q8,bid_random,bid,q9,q10,q11,q11_other,block,design_offset,q16_1,q16_2,q16_3,q16_4,q16_5,q16_6,q16_7,q17_1,q17_2,q18,q19,q20,q20_other,q21,q22,q23,q24
351,4,7,Anonymised,Anonymised,Anonymised,1655301473.30874,340.014,Prolific,Anonymised,1,1,4,Anonymised,1,3,2,2,3,3,3,3,£10.00,2,,1,Anonymised,2,4,11,10,11,8,10,10,9,4,4,2,1,1,Anonymised,3,4,10,Anonymised
355,4,7,Anonymised,Anonymised,Anonymised,1655301486.11696,327.699,Prolific,Anonymised,1,1,5,Anonymised,1,4,4,2,4,4,6,10,£80.00,1,,,Anonymised,2,4,10,9,10,10,10,10,11,5,5,2,2,1,Anonymised,2,5,10,Anonymised
328,4,7,Anonymised,Anonymised,Anonymised,1655301391.37654,429.961,Prolific,Anonymised,1,2,2,Anonymised,1,2,0,2,1,3,5,9,£70.00,1,,,Anonymised,2,4,10,10,11,9,11,11,11,5,5,1,1,1,Anonymised,5,4,8,Anonymised
345,4,7,Anonymised,Anonymised,Anonymised,1655301458.88534,367.166,Prolific,Anonymised,1,2,1,Anonymised,1,4,4,3,2,2,12,8,£60.00,,2,1,Anonymised,1,0,10,6,9,6,8,9,9,4,3,2,1,1,Anonymised,5,6,10,Anonymised
367,4,7,Anonymised,Anonymised,Anonymised,1655301527.88244,298.199,Prolific,Anonymised,1,2,3,Anonymised,1,1,2,2,0,4,6,9,£70.00,1,,,Anonymised,1,0,9,9,9,8,9,9,9,3,3,1,1,2,Anonymised,5,7,8,Anonymised
316,4,7,Anonymised,Anonymised,Anonymised,1655301358.17512,469.372,Prolific,Anonymised,1,2,1,Anonymised,1,5,4,1,5,5,7,8,£60.00,2,,4,Anonymised,2,4,11,10,11,11,11,11,11,3,3,1,2,2,Anonymised,5,10,10,Anonymised
344,4,7,Anonymised,Anonymised,Anonymised,1655301458.60233,374.633,Prolific,Anonymised,1,1,3,Anonymised,1,2,1,2,1,1,8,2,£5.00,2,,2,Anonymised,2,4,7,6,8,6,7,8,8,3,3,1,2,2,Anonymised,3,4,10,Anonymised
307,4,7,Anonymised,Anonymised,Anonymised,1655301333.82203,502.93,Prolific,Anonymised,1,2,1,Anonymised,1,4,4,2,4,4,4,2,£5.00,1,,,Anonymised,1,0,8,6,10,10,11,11,11,3,3,1,1,2,Anonymised,4,5,9,Anonymised
320,4,7,Anonymised,Anonymised,Anonymised,1655301365.28949,471.8,Prolific,Anonymised,1,2,3,Anonymised,1,2,2,4,1,1,3,5,£30.00,2,,4,Anonymised,1,0,6,3,6,3,6,6,6,3,3,1,2,1,Anonymised,5,6,10,Anonymised
362,4,7,Anonymised,Anonymised,Anonymised,1655301521.8999,317.302,Prolific,Anonymised,1,1,5,Anonymised,1,2,2,2,2,2,9,4,£20.00,1,,,Anonymised,2,4,9,9,9,9,10,10,10,4,4,2,2,1,Anonymised,5,3,7,Anonymised
228,4,7,Anonymised,Anonymised,Anonymised,1655300971.82471,869.897,Prolific,Anonymised,1,2,2,Anonymised,1,5,5,1,3,5,4,6,£40.00,1,,,Anonymised,2,4,11,11,11,8,9,10,11,3,3,1,1,1,Anonymised,4,8,10,Anonymised
261,4,7,Anonymised,Anonymised,Anonymised,1655301118.86832,723.102,Prolific,Anonymised,1,2,4,Anonymised,1,3,4,2,3,3,5,9,£70.00,1,,,Anonymised,2,4,11,7,8,5,9,10,11,5,3,2,2,2,Anonymised,4,1,10,Anonymised
350,4,7,Anonymised,Anonymised,Anonymised,1655301471.98609,388.265,Prolific,Anonymised,1,2,5,Anonymised,1,3,4,2,2,3,5,7,£50.00,1,,,Anonymised,2,4,11,10,10,9,10,10,10,5,4,1,1,1,Anonymised,5,5,10,Anonymised
353,4,7,Anonymised,Anonymised,Anonymised,1655301475.49238,392.248,Prolific,Anonymised,1,2,3,Anonymised,1,1,1,3,1,1,7,10,£80.00,2,,4,Anonymised,2,4,10,7,10,7,9,10,10,3,3,1,2,2,Anonymised,5,5,8,Anonymised
388,4,7,Anonymised,Anonymised,Anonymised,1655301622.02235,248.217,Prolific,Anonymised,1,1,2,Anonymised,1,4,3,2,1,3,6,6,£40.00,1,,,Anonymised,2,4,11,9,10,8,10,11,11,4,4,2,2,1,Anonymised,3,8,10,Anonymised
315,4,7,Anonymised,Anonymised,Anonymised,1655301357.4666,513.978,Prolific,Anonymised,1,2,3,Anonymised,1,1,2,2,2,2,6,1,£1.00,1,,,Anonymised,2,4,10,7,10,7,8,10,10,3,3,1,2,1,Anonymised,5,7,9,Anonymised
300,4,7,Anonymised,Anonymised,Anonymised,1655301303.56123,569.776,Prolific,Anonymised,1,1,5,Anonymised,1,3,3,2,2,3,12,7,£50.00,,1,,Anonymised,2,4,8,4,10,9,10,10,10,3,3,2,2,1,Anonymised,2,2,10,Anonymised
318,4,7,Anonymised,Anonymised,Anonymised,1655301361.30359,516.139,Prolific,Anonymised,1,2,1,Anonymised,1,1,2,2,3,5,12,9,£70.00,,1,,Anonymised,1,0,11,9,8,7,9,11,11,3,3,2,2,2,Anonymised,5,5,9,Anonymised
302,4,7,Anonymised,Anonymised,Anonymised,1655301310.26952,567.72,Prolific,Anonymised,1,1,5,Anonymised,1,2,1,2,1,2,4,1,£1.00,1,,,Anonymised,1,0,10,6,8,7,10,10,11,4,4,2,1,1,Anonymised,5,9,9,Anonymised
313,4,7,Anonymised,Anonymised,Anonymised,1655301350.75174,530.122,Prolific,Anonymised,1,2,5,Anonymised,1,4,1,2,1,1,3,3,£10.00,1,,,Anonymised,2,4,11,8,11,8,9,9,9,3,3,2,1,1,Anonymised,4,7,10,Anonymised
341,4,7,Anonymised,Anonymised,Anonymised,1655301446.17158,439.968,Prolific,Anonymised,1,1,4,Anonymised,1,2,4,2,4,4,4,1,£1.00,1,,,Anonymised,2,4,10,6,10,6,8,9,9,3,3,2,1,2,Anonymised,4,1,10,Anonymised
257,4,7,Anonymised,Anonymised,Anonymised,1655301110.82645,789.625,Prolific,Anonymised,1,1,4,Anonymised,1,-1,0,2,0,0,6,4,£20.00,2,,2,Anonymised,2,4,6,1,3,3,2,2,2,3,3,1,2,2,Anonymised,4,9,10,Anonymised
327,4,7,Anonymised,Anonymised,Anonymised,1655301382.94375,518.802,Prolific,Anonymised,1,2,2,Anonymised,3,3,3,2,3,3,12,6,£40.00,,2,4,Anonymised,2,4,9,8,8,7,10,9,10,3,3,2,2,1,Anonymised,5,4,6,Anonymised
384,4,7,Anonymised,Anonymised,Anonymised,1655301594.54337,308.876,Prolific,Anonymised,1,2,4,Anonymised,1,3,2,2,3,3,5,8,£60.00,2,,1,Anonymised,1,0,8,7,7,7,7,7,7,3,3,2,2,1,Anonymised,5,10,10,Anonymised
358,4,7,Anonymised,Anonymised,Anonymised,1655301494.36794,409.808,Prolific,Anonymised,1,2,3,Anonymised,1,4,4,2,4,4,4,2,£5.00,1,,,Anonymised,2,4,10,10,10,9,10,8,7,3,3,2,2,1,Anonymised,5,9,10,Anonymised
377,4,7,Anonymised,Anonymised,Anonymised,1655301569.2964,336.311,Prolific,Anonymised,1,2,3,Anonymised,1,5,5,1,5,5,7,10,£80.00,1,,,Anonymised,2,4,11,9,11,9,11,11,11,3,3,1,1,2,Anonymised,3,8,10,Anonymised
363,4,7,Anonymised,Anonymised,Anonymised,1655301522.50535,390.737,Prolific,Anonymised,1,2,3,Anonymised,1,4,3,2,3,2,6,6,£40.00,1,,,Anonymised,2,4,11,9,10,9,10,11,11,5,5,2,1,1,Anonymised,5,7,10,Anonymised
310,4,7,Anonymised,Anonymised,Anonymised,1655301343.18066,572.875,Prolific,Anonymised,1,1,2,Anonymised,1,1,1,2,1,2,3,10,£80.00,1,,,Anonymised,2,4,9,8,7,6,7,7,7,3,3,2,2,1,Anonymised,5,2,8,Anonymised
369,4,7,Anonymised,Anonymised,Anonymised,1655301531.20413,395.526,Prolific,Anonymised,1,3,3,Anonymised,1,2,1,3,1,-3,1,7,£50.00,,1,,Anonymised,2,4,10,9,9,8,10,11,11,3,3,1,2,1,Anonymised,3,4,10,Anonymised
251,4,7,Anonymised,Anonymised,Anonymised,1655301088.43891,840.464,Prolific,Anonymised,1,2,1,Anonymised,4,2,4,1,4,3,11,1,£1.00,1,,,Anonymised,1,0,11,9,10,10,11,11,11,4,4,2,2,1,Anonymised,5,9,10,Anonymised
380,4,7,Anonymised,Anonymised,Anonymised,1655301579.83139,352.895,Prolific,Anonymised,1,2,2,Anonymised,1,3,3,3,3,5,3,8,£60.00,1,,,Anonymised,1,0,11,9,11,7,11,11,11,4,4,1,1,1,Anonymised,4,6,7,Anonymised
360,4,7,Anonymised,Anonymised,Anonymised,1655301516.26953,424.106,Prolific,Anonymised,1,2,3,Anonymised,1,2,3,3,-3,4,5,8,£60.00,1,,,Anonymised,1,0,10,6,10,8,9,10,10,3,3,2,2,1,Anonymised,4,3,9,Anonymised
361,4,7,Anonymised,Anonymised,Anonymised,1655301516.38888,430.069,Prolific,Anonymised,1,1,3,Anonymised,1,3,4,2,3,3,3,1,£1.00,2,,1,Anonymised,1,0,11,7,11,7,9,9,10,3,3,1,2,2,Anonymised,5,6,8,Anonymised
321,4,7,Anonymised,Anonymised,Anonymised,1655301366.11285,582.567,Prolific,Anonymised,1,2,5,Anonymised,1,5,5,2,5,5,5,4,£20.00,1,,,Anonymised,1,0,11,8,11,8,11,11,11,3,3,2,2,2,Anonymised,5,7,10,Anonymised
352,4,7,Anonymised,Anonymised,Anonymised,1655301475.30932,476.162,Prolific,Anonymised,1,1,2,Anonymised,1,5,5,1,5,5,6,5,£30.00,1,,,Anonymised,2,4,11,5,11,11,11,11,11,3,3,1,1,2,Anonymised,5,6,10,Anonymised
287,4,7,Anonymised,Anonymised,Anonymised,1655301248.4237,711.636,Prolific,Anonymised,1,1,5,Anonymised,1,4,4,3,4,4,6,1,£1.00,1,,,Anonymised,1,0,9,9,9,9,10,10,10,3,3,1,2,2,Anonymised,4,4,7,Anonymised
416,4,7,Anonymised,Anonymised,Anonymised,1655301742.72189,218.933,Prolific,Anonymised,1,1,2,Anonymised,4,2,3,1,1,2,3,4,£20.00,1,,,Anonymised,2,4,11,10,10,10,11,11,11,5,4,1,1,1,Anonymised,5,7,10,Anonymised
281,4,7,Anonymised,Anonymised,Anonymised,1655301234.96831,728.215,Prolific,Anonymised,1,2,1,Anonymised,1,3,3,2,2,-2,12,8,£60.00,,1,,Anonymised,2,4,10,7,8,7,5,7,6,4,3,1,2,1,Anonymised,5,5,10,Anonymised
248,4,7,Anonymised,Anonymised,Anonymised,1655301069.50698,893.76,Prolific,Anonymised,1,2,3,Anonymised,4,3,4,2,3,4,5,7,£50.00,1,,,Anonymised,1,0,10,9,8,8,10,10,9,4,4,2,2,1,Anonymised,5,3,9,Anonymised
403,4,7,Anonymised,Anonymised,Anonymised,1655301696.3107,268.488,Prolific,Anonymised,1,1,2,Anonymised,1,2,2,2,1,2,2,6,£40.00,2,,1,Anonymised,2,4,6,4,7,3,6,7,3,2,3,2,2,1,Anonymised,5,3,3,Anonymised
410,4,7,Anonymised,Anonymised,Anonymised,1655301724.45252,248.861,Prolific,Anonymised,1,1,3,Anonymised,1,0,0,4,0,0,7,8,£60.00,1,,,Anonymised,1,0,8,7,7,7,7,7,7,3,3,1,1,1,Anonymised,4,8,9,Anonymised
405,4,7,Anonymised,Anonymised,Anonymised,1655301699.09886,291.753,Prolific,Anonymised,1,1,2,Anonymised,1,-3,0,1,0,3,3,10,£80.00,2,,2,Anonymised,1,0,11,2,10,2,1,1,1,3,3,2,2,1,Anonymised,2,7,9,Anonymised
334,4,7,Anonymised,Anonymised,Anonymised,1655301407.90038,584.384,Prolific,Anonymised,1,2,5,Anonymised,1,2,3,3,2,2,6,8,£60.00,1,,,Anonymised,2,4,8,1,8,1,8,8,8,3,3,1,2,1,Anonymised,4,4,10,Anonymised
338,4,7,Anonymised,Anonymised,Anonymised,1655301432.66305,560.518,Prolific,Anonymised,1,3,1,Anonymised,1,3,2,3,2,5,5,4,£20.00,1,,,Anonymised,1,0,11,6,8,6,8,10,11,3,3,2,2,1,Anonymised,5,9,10,Anonymised
247,4,7,Anonymised,Anonymised,Anonymised,1655301065.7217,932.164,Prolific,Anonymised,1,1,3,Anonymised,1,4,4,2,4,4,3,8,£60.00,1,,,Anonymised,2,4,10,9,10,9,10,10,10,3,3,2,2,1,Anonymised,3,6,9,Anonymised
394,4,7,Anonymised,Anonymised,Anonymised,1655301650.83957,349.55,Prolific,Anonymised,1,1,1,Anonymised,1,4,4,2,3,5,3,5,£30.00,2,,4,Anonymised,1,0,10,8,9,9,9,8,9,4,4,2,2,2,Anonymised,4,6,9,Anonymised
399,4,7,Anonymised,Anonymised,Anonymised,1655301684.3507,316.984,Prolific,Anonymised,1,1,2,Anonymised,1,3,4,2,4,4,3,3,£10.00,1,,,Anonymised,2,4,10,2,9,2,10,10,10,4,4,1,2,1,Anonymised,4,7,10,Anonymised
289,4,7,Anonymised,Anonymised,Anonymised,1655301256.1225,746.981,Prolific,Anonymised,1,2,4,Anonymised,1,3,0,4,0,5,7,5,£30.00,1,,,Anonymised,1,0,11,8,10,8,10,10,10,3,3,1,1,1,Anonymised,5,5,10,Anonymised
322,4,7,Anonymised,Anonymised,Anonymised,1655301366.15765,637.335,Prolific,Anonymised,1,2,3,Anonymised,1,3,2,4,0,5,5,7,£50.00,1,,,Anonymised,1,0,9,6,9,7,6,7,8,3,3,2,2,2,Anonymised,5,2,9,Anonymised
349,4,7,Anonymised,Anonymised,Anonymised,1655301468.316,535.2,Prolific,Anonymised,1,2,3,Anonymised,1,4,5,2,5,5,5,9,£70.00,1,,,Anonymised,1,0,11,9,11,11,11,11,11,5,5,1,1,1,Anonymised,6,5,10,Anonymised
370,4,7,Anonymised,Anonymised,Anonymised,1655301543.80545,459.871,Prolific,Anonymised,1,1,6,Anonymised,1,0,0,2,-1,-1,12,8,£60.00,,2,5,Anonymised,1,0,2,1,6,6,6,6,6,3,3,2,2,1,Anonymised,4,10,10,Anonymised
389,4,7,Anonymised,Anonymised,Anonymised,1655301625.70256,398.249,Prolific,Anonymised,1,2,2,Anonymised,3,2,0,3,0,0,12,9,£70.00,,1,,Anonymised,1,0,11,7,9,6,9,9,9,3,3,1,2,1,Anonymised,5,4,10,Anonymised
356,4,7,Anonymised,Anonymised,Anonymised,1655301489.25269,535.772,Prolific,Anonymised,1,2,3,Anonymised,1,2,4,3,0,3,6,8,£60.00,1,,,Anonymised,2,4,11,4,9,8,7,8,9,3,3,2,2,1,Anonymised,5,8,9,Anonymised
390,4,7,Anonymised,Anonymised,Anonymised,1655301627.51107,400.494,Prolific,Anonymised,1,2,3,Anonymised,1,3,4,2,4,4,3,5,£30.00,2,,2,Anonymised,2,4,8,3,8,10,9,9,7,3,3,2,2,2,Anonymised,2,4,8,Anonymised
373,4,7,Anonymised,Anonymised,Anonymised,1655301561.26197,467.646,Prolific,Anonymised,1,2,3,Anonymised,1,3,0,2,0,0,12,4,£20.00,,1,,Anonymised,2,4,6,3,9,3,6,6,6,3,3,2,2,1,Anonymised,5,6,10,Anonymised
372,4,7,Anonymised,Anonymised,Anonymised,1655301550.26314,486.201,Prolific,Anonymised,1,2,3,Anonymised,1,5,1,2,1,3,9,5,£30.00,1,,,Anonymised,2,4,11,10,11,10,11,11,11,3,3,2,1,1,Anonymised,5,7,10,Anonymised
407,4,7,Anonymised,Anonymised,Anonymised,1655301715.27931,321.599,Prolific,Anonymised,1,1,1,Anonymised,3,3,2,2,3,3,11,7,£50.00,1,,,Anonymised,1,0,9,8,9,7,9,9,8,3,3,2,2,1,Anonymised,5,6,9,Anonymised
274,4,7,Anonymised,Anonymised,Anonymised,1655301186.87853,851.43,Prolific,Anonymised,1,1,5,Anonymised,1,2,3,2,2,3,4,5,£30.00,1,,,Anonymised,2,4,11,9,11,9,9,10,10,3,3,2,2,2,Anonymised,5,7,8,Anonymised
258,4,7,Anonymised,Anonymised,Anonymised,1655301114.39688,927.758,Prolific,Anonymised,1,1,2,Anonymised,1,5,4,2,4,4,6,7,£50.00,1,,,Anonymised,2,4,11,11,11,11,11,11,11,3,3,1,1,1,Anonymised,3,7,10,Anonymised
354,4,7,Anonymised,Anonymised,Anonymised,1655301485.83501,556.639,Prolific,Anonymised,1,2,4,Anonymised,1,2,3,3,3,1,3,5,£30.00,2,,2,Anonymised,2,4,9,5,10,7,10,11,11,3,3,2,1,2,Anonymised,5,2,7,Anonymised
443,4,7,Anonymised,Anonymised,Anonymised,1655301854.38202,188.582,Prolific,Anonymised,1,1,5,Anonymised,1,1,0,2,-1,1,4,8,£60.00,2,,2,Anonymised,2,4,1,1,1,1,1,1,1,3,3,2,2,2,Anonymised,5,8,10,Anonymised
366,4,7,Anonymised,Anonymised,Anonymised,1655301527.32805,520.62,Prolific,Anonymised,1,2,4,Anonymised,1,3,2,3,2,2,3,2,£5.00,1,,,Anonymised,1,0,9,7,8,7,9,9,9,3,3,1,2,1,Anonymised,1,9,10,Anonymised
303,4,7,Anonymised,Anonymised,Anonymised,1655301311.53044,739.136,Prolific,Anonymised,1,2,2,Anonymised,2,3,3,3,1,3,6,6,£40.00,1,,,Anonymised,1,0,11,6,11,7,9,11,11,2,3,1,1,2,Anonymised,5,6,8,Anonymised
383,4,7,Anonymised,Anonymised,Anonymised,1655301587.193,468.673,Prolific,Anonymised,1,1,1,Anonymised,1,-2,-1,4,0,0,1,4,£20.00,,1,,Anonymised,1,0,10,1,1,1,4,4,4,3,3,2,1,2,Anonymised,5,3,10,Anonymised
381,4,7,Anonymised,Anonymised,Anonymised,1655301582.95944,477.291,Prolific,Anonymised,1,1,4,Anonymised,1,1,2,2,2,5,3,8,£60.00,1,,,Anonymised,2,4,11,7,8,7,10,11,11,4,4,2,2,1,Anonymised,2,2,10,Anonymised
421,4,7,Anonymised,Anonymised,Anonymised,1655301746.14993,318.659,Prolific,Anonymised,1,1,3,Anonymised,1,1,0,2,1,1,6,10,£80.00,2,,2,Anonymised,1,0,6,2,6,1,5,5,4,3,3,1,2,2,Anonymised,5,8,10,Anonymised
393,4,7,Anonymised,Anonymised,Anonymised,1655301645.49375,422.913,Prolific,Anonymised,1,1,2,Anonymised,1,-2,0,2,-1,-1,7,6,£40.00,2,,4,Anonymised,2,4,9,8,5,2,6,7,8,3,3,2,2,2,Anonymised,3,7,9,Anonymised
335,4,7,Anonymised,Anonymised,Anonymised,1655301418.44983,661.172,Prolific,Anonymised,1,2,2,Anonymised,3,2,2,2,2,2,5,9,£70.00,1,,,Anonymised,2,4,11,8,9,9,9,10,10,3,3,2,1,1,Anonymised,5,8,8,Anonymised
425,4,7,Anonymised,Anonymised,Anonymised,1655301797.04397,287.532,Prolific,Anonymised,1,1,1,Anonymised,1,1,2,3,-1,1,8,3,£10.00,1,,,Anonymised,1,0,9,7,10,8,8,9,10,3,3,2,2,1,Anonymised,5,7,9,Anonymised
422,4,7,Anonymised,Anonymised,Anonymised,1655301766.01144,323.081,Prolific,Anonymised,1,1,3,Anonymised,1,3,3,2,3,3,5,4,£20.00,2,,4,Anonymised,1,0,8,8,8,8,9,9,9,4,4,2,1,1,Anonymised,2,4,10,Anonymised
387,4,7,Anonymised,Anonymised,Anonymised,1655301610.8153,486.503,Prolific,Anonymised,1,2,3,Anonymised,1,3,3,2,4,4,5,4,£20.00,1,,,Anonymised,2,4,11,11,11,11,11,11,11,3,3,2,2,1,Anonymised,3,7,10,Anonymised
397,4,7,Anonymised,Anonymised,Anonymised,1655301667.49967,442.233,Prolific,Anonymised,1,2,5,Anonymised,1,3,0,2,1,1,5,1,£1.00,1,,,Anonymised,2,4,10,8,10,7,7,7,7,4,4,2,2,1,Anonymised,3,8,10,Anonymised
319,4,7,Anonymised,Anonymised,Anonymised,1655301364.84356,751.987,Prolific,Anonymised,1,2,1,Anonymised,1,3,3,2,3,3,12,6,£40.00,,1,,Anonymised,1,0,11,9,11,8,10,11,11,5,3,1,1,2,Anonymised,2,3,10,Anonymised
431,4,7,Anonymised,Anonymised,Anonymised,1655301817.61632,302.928,Prolific,Anonymised,1,2,5,Anonymised,1,2,3,2,2,2,5,4,£20.00,2,,4,Anonymised,2,4,9,7,9,7,10,10,10,3,3,2,2,2,Anonymised,4,4,5,Anonymised
420,4,7,Anonymised,Anonymised,Anonymised,1655301745.54517,376.284,Prolific,Anonymised,1,1,4,Anonymised,1,-2,-1,4,-1,2,7,5,£30.00,2,,6,Anonymised,1,0,11,9,11,9,8,5,5,3,3,2,1,2,Anonymised,5,4,10,Anonymised
374,4,7,Anonymised,Anonymised,Anonymised,1655301561.90083,563.126,Prolific,Anonymised,1,1,2,Anonymised,1,3,4,2,3,5,7,3,£10.00,1,,,Anonymised,2,4,10,7,10,8,9,10,11,3,3,1,1,1,Anonymised,4,6,8,Anonymised
424,4,7,Anonymised,Anonymised,Anonymised,1655301783.56327,343.108,Prolific,Anonymised,1,1,5,Anonymised,1,5,5,1,5,5,12,4,£20.00,,1,,Anonymised,1,0,11,8,11,11,11,11,11,5,5,2,2,1,Anonymised,1,2,10,Anonymised
414,4,7,Anonymised,Anonymised,Anonymised,1655301732.00841,403.554,Prolific,Anonymised,1,2,5,Anonymised,1,2,3,2,3,3,7,10,£80.00,1,,,Anonymised,1,0,10,7,10,8,11,11,11,3,3,2,2,1,Anonymised,5,4,9,Anonymised
357,4,7,Anonymised,Anonymised,Anonymised,1655301490.5371,648.426,Prolific,Anonymised,1,2,4,Anonymised,1,3,4,2,4,4,7,1,£1.00,1,,,Anonymised,2,4,10,7,11,7,9,10,11,3,3,1,1,2,Anonymised,3,10,10,Anonymised
398,4,7,Anonymised,Anonymised,Anonymised,1655301678.92846,464.739,Prolific,Anonymised,1,2,4,Anonymised,2,4,4,3,4,4,10,2,£5.00,1,,,Anonymised,1,0,10,8,10,10,11,11,11,3,3,2,2,2,Anonymised,5,3,10,Anonymised
430,4,7,Anonymised,Anonymised,Anonymised,1655301816.66253,330.619,Prolific,Anonymised,1,1,5,Anonymised,1,1,0,4,0,0,3,4,£20.00,2,,4,Anonymised,2,4,2,1,2,1,4,4,4,3,3,1,2,2,Anonymised,4,3,10,Anonymised
343,4,7,Anonymised,Anonymised,Anonymised,1655301457.75477,694.764,Prolific,Anonymised,1,1,4,Anonymised,1,1,0,3,1,2,6,3,£10.00,1,,,Anonymised,2,4,10,4,9,5,8,9,10,3,3,2,2,1,Anonymised,5,5,10,Anonymised
392,4,7,Anonymised,Anonymised,Anonymised,1655301640.94325,511.836,Prolific,Anonymised,1,3,5,Anonymised,1,5,5,2,5,5,3,7,£50.00,1,,,Anonymised,1,0,11,10,11,10,11,11,11,3,3,2,2,1,Anonymised,5,3,10,Anonymised
446,4,7,Anonymised,Anonymised,Anonymised,1655301873.81312,279.088,Prolific,Anonymised,1,1,2,Anonymised,1,2,3,2,2,1,4,5,£30.00,1,,,Anonymised,2,4,10,9,10,9,8,9,10,3,3,1,2,1,Anonymised,5,7,10,Anonymised
368,4,7,Anonymised,Anonymised,Anonymised,1655301528.80177,627.045,Prolific,Anonymised,1,2,2,Anonymised,1,2,2,2,1,1,5,9,£70.00,2,,4,Anonymised,2,4,8,7,8,6,7,7,10,4,4,1,2,1,Anonymised,3,3,7,Anonymised
364,4,7,Anonymised,Anonymised,Anonymised,1655301522.80521,633.204,Prolific,Anonymised,1,2,4,Anonymised,1,3,3,2,3,3,12,8,£60.00,,1,,Anonymised,1,0,7,1,9,8,9,10,11,3,3,1,2,1,Anonymised,5,8,10,Anonymised
379,4,7,Anonymised,Anonymised,Anonymised,1655301575.9768,580.331,Prolific,Anonymised,1,1,3,Anonymised,1,3,3,2,2,5,12,9,£70.00,,1,,Anonymised,1,0,11,8,8,8,9,9,9,3,3,2,1,2,Anonymised,4,4,9,Anonymised
5,3,10,Anonymised,Anonymised,Anonymised,1655298544.30028,3619.094,Prolific,Anonymised,,,,Anonymised,,,,,,,,,"",,,,Anonymised,,,,,,,,,,,,,,,Anonymised,,,,Anonymised
3,2,10,Anonymised,Anonymised,Anonymised,1655298423.91655,3739.646,Prolific,Anonymised,1,1,1,Anonymised,1,0,0,1,0,0,1,4,£20.00,,1,,Anonymised,,,,,,,,,,,,,,,Anonymised,,,,Anonymised
396,4,7,Anonymised,Anonymised,Anonymised,1655301667.04141,502.116,Prolific,Anonymised,1,1,4,Anonymised,1,4,5,2,5,5,5,2,£5.00,1,,,Anonymised,1,0,11,10,11,10,11,11,11,3,3,2,1,1,Anonymised,5,9,10,Anonymised
450,4,7,Anonymised,Anonymised,Anonymised,1655301917.60417,259.856,Prolific,Anonymised,1,1,2,Anonymised,1,4,4,2,4,4,12,5,£30.00,,1,,Anonymised,2,4,11,10,11,10,11,11,11,3,3,1,2,1,Anonymised,5,5,10,Anonymised
408,4,7,Anonymised,Anonymised,Anonymised,1655301719.42718,459.058,Prolific,Anonymised,1,2,4,Anonymised,1,3,2,2,2,2,7,9,£70.00,1,,,Anonymised,2,4,10,9,9,9,9,10,11,4,4,1,1,1,Anonymised,3,9,10,Anonymised
402,4,7,Anonymised,Anonymised,Anonymised,1655301688.75947,490.114,Prolific,Anonymised,1,1,5,Anonymised,1,1,2,2,1,3,5,6,£40.00,2,,2,Anonymised,2,4,6,2,3,1,2,2,3,2,1,2,2,1,Anonymised,2,5,5,Anonymised
415,4,7,Anonymised,Anonymised,Anonymised,1655301738.17443,442.367,Prolific,Anonymised,1,2,5,Anonymised,1,3,4,2,4,4,6,8,£60.00,1,,,Anonymised,1,0,11,11,11,10,11,11,11,3,3,1,1,1,Anonymised,6,7,10,Anonymised
375,4,7,Anonymised,Anonymised,Anonymised,1655301563.33452,617.663,Prolific,Anonymised,1,1,5,Anonymised,3,1,2,2,3,2,6,9,£70.00,1,,,Anonymised,2,4,10,9,10,8,9,10,10,4,3,1,2,1,Anonymised,5,9,9,Anonymised
395,4,7,Anonymised,Anonymised,Anonymised,1655301661.8855,529.021,Prolific,Anonymised,1,2,5,Anonymised,1,3,1,4,0,5,4,2,£5.00,2,,6,Anonymised,1,0,9,7,7,7,8,9,10,3,3,1,1,2,Anonymised,5,4,9,Anonymised
433,4,7,Anonymised,Anonymised,Anonymised,1655301824.38776,368.542,Prolific,Anonymised,1,1,2,Anonymised,1,5,5,3,2,5,2,5,£30.00,1,,,Anonymised,2,4,11,11,11,11,10,10,11,3,3,1,1,1,Anonymised,4,4,10,Anonymised
428,4,7,Anonymised,Anonymised,Anonymised,1655301808.04436,394.222,Prolific,Anonymised,1,2,4,Anonymised,1,2,4,2,4,4,4,4,£20.00,2,,4,Anonymised,1,0,11,10,7,6,9,9,9,3,3,1,2,1,Anonymised,5,10,10,Anonymised
453,4,7,Anonymised,Anonymised,Anonymised,1655301926.64436,281.159,Prolific,Anonymised,1,2,5,Anonymised,1,3,4,2,4,4,5,2,£5.00,1,,,Anonymised,1,0,11,7,11,9,10,10,9,3,3,1,2,1,Anonymised,5,6,9,Anonymised
412,4,7,Anonymised,Anonymised,Anonymised,1655301727.98911,480.665,Prolific,Anonymised,1,1,3,Anonymised,1,3,3,4,0,0,5,8,£60.00,1,,,Anonymised,2,4,11,11,11,11,9,9,9,3,3,2,1,1,Anonymised,5,4,7,Anonymised
409,4,7,Anonymised,Anonymised,Anonymised,1655301724.20207,487.35,Prolific,Anonymised,1,2,4,Anonymised,1,4,4,2,4,4,7,1,£1.00,1,,,Anonymised,1,0,11,11,11,8,11,11,11,4,4,2,1,1,Anonymised,5,5,10,Anonymised
