RID,DESIGN_ROW,SCENARIO,SEQ,pref1,a1_x1,a1_x2,a1_x3,a2_x1,a2_x2,a2_x3,a3_x1,a3_x2,a3_x3
3,5,1,1,1,1,1,1,3,1,2,1,2,4
3,6,2,2,1,1,1,1,1,3,3,2,1,1
3,7,3,3,1,1,1,1,3,3,3,1,2,2
3,8,4,4,1,1,1,1,3,2,3,2,3,4
7,5,1,1,,1,1,1,3,1,2,1,2,4
13,5,1,1,3,1,1,1,3,1,2,1,2,4
13,6,2,2,2,1,1,1,1,3,3,2,1,1
13,7,3,3,3,1,1,1,3,3,3,1,2,2
13,8,4,4,3,1,1,1,3,2,3,2,3,4
17,5,1,1,2,1,1,1,3,1,2,1,2,4
17,6,2,2,3,1,1,1,1,3,3,2,1,1
17,7,3,3,3,1,1,1,3,3,3,1,2,2
17,8,4,4,1,1,1,1,3,2,3,2,3,4
15,5,1,1,1,1,1,1,3,1,2,1,2,4
15,6,2,2,2,1,1,1,1,3,3,2,1,1
15,7,3,3,3,1,1,1,3,3,3,1,2,2
15,8,4,4,1,1,1,1,3,2,3,2,3,4
21,1,1,1,1,1,1,1,1,1,2,2,3,3
21,2,2,2,3,1,1,1,2,2,4,3,1,1
21,3,3,3,2,1,1,1,3,2,2,1,1,1
21,4,4,4,3,1,1,1,2,1,1,3,2,2
22,1,1,1,3,1,1,1,1,1,2,2,3,3
22,2,2,2,1,1,1,1,2,2,4,3,1,1
22,3,3,3,2,1,1,1,3,2,2,1,1,1
22,4,4,4,3,1,1,1,2,1,1,3,2,2
23,5,1,1,1,1,1,1,3,1,2,1,2,4
23,6,2,2,2,1,1,1,1,3,3,2,1,1
23,7,3,3,3,1,1,1,3,3,3,1,2,2
23,8,4,4,1,1,1,1,3,2,3,2,3,4
20,1,1,1,3,1,1,1,1,1,2,2,3,3
20,2,2,2,3,1,1,1,2,2,4,3,1,1
20,3,3,3,3,1,1,1,3,2,2,1,1,1
20,4,4,4,2,1,1,1,2,1,1,3,2,2
16,5,1,1,3,1,1,1,3,1,2,1,2,4
16,6,2,2,2,1,1,1,1,3,3,2,1,1
16,7,3,3,3,1,1,1,3,3,3,1,2,2
16,8,4,4,3,1,1,1,3,2,3,2,3,4
25,1,1,1,3,1,1,1,1,1,2,2,3,3
25,2,2,2,3,1,1,1,2,2,4,3,1,1
25,3,3,3,3,1,1,1,3,2,2,1,1,1
25,4,4,4,2,1,1,1,2,1,1,3,2,2
19,1,1,1,3,1,1,1,1,1,2,2,3,3
19,2,2,2,2,1,1,1,2,2,4,3,1,1
19,3,3,3,2,1,1,1,3,2,2,1,1,1
19,4,4,4,3,1,1,1,2,1,1,3,2,2
27,5,1,1,3,1,1,1,3,1,2,1,2,4
27,6,2,2,2,1,1,1,1,3,3,2,1,1
27,7,3,3,3,1,1,1,3,3,3,1,2,2
27,8,4,4,3,1,1,1,3,2,3,2,3,4
28,1,1,1,3,1,1,1,1,1,2,2,3,3
28,2,2,2,1,1,1,1,2,2,4,3,1,1
28,3,3,3,3,1,1,1,3,2,2,1,1,1
28,4,4,4,2,1,1,1,2,1,1,3,2,2
34,1,1,1,2,1,1,1,1,1,2,2,3,3
34,2,2,2,1,1,1,1,2,2,4,3,1,1
34,3,3,3,3,1,1,1,3,2,2,1,1,1
34,4,4,4,1,1,1,1,2,1,1,3,2,2
33,5,1,1,3,1,1,1,3,1,2,1,2,4
33,6,2,2,2,1,1,1,1,3,3,2,1,1
33,7,3,3,3,1,1,1,3,3,3,1,2,2
33,8,4,4,3,1,1,1,3,2,3,2,3,4
29,1,1,1,1,1,1,1,1,1,2,2,3,3
29,2,2,2,1,1,1,1,2,2,4,3,1,1
29,3,3,3,3,1,1,1,3,2,2,1,1,1
29,4,4,4,2,1,1,1,2,1,1,3,2,2
42,1,1,1,3,1,1,1,1,1,2,2,3,3
42,2,2,2,2,1,1,1,2,2,4,3,1,1
42,3,3,3,2,1,1,1,3,2,2,1,1,1
42,4,4,4,2,1,1,1,2,1,1,3,2,2
31,1,1,1,2,1,1,1,1,1,2,2,3,3
31,2,2,2,1,1,1,1,2,2,4,3,1,1
31,3,3,3,3,1,1,1,3,2,2,1,1,1
31,4,4,4,2,1,1,1,2,1,1,3,2,2
39,5,1,1,3,1,1,1,3,1,2,1,2,4
39,6,2,2,2,1,1,1,1,3,3,2,1,1
39,7,3,3,3,1,1,1,3,3,3,1,2,2
39,8,4,4,3,1,1,1,3,2,3,2,3,4
30,5,1,1,1,1,1,1,3,1,2,1,2,4
30,6,2,2,1,1,1,1,1,3,3,2,1,1
30,7,3,3,3,1,1,1,3,3,3,1,2,2
30,8,4,4,1,1,1,1,3,2,3,2,3,4
35,5,1,1,2,1,1,1,3,1,2,1,2,4
35,6,2,2,2,1,1,1,1,3,3,2,1,1
35,7,3,3,3,1,1,1,3,3,3,1,2,2
35,8,4,4,3,1,1,1,3,2,3,2,3,4
24,1,1,1,2,1,1,1,1,1,2,2,3,3
24,2,2,2,1,1,1,1,2,2,4,3,1,1
24,3,3,3,3,1,1,1,3,2,2,1,1,1
24,4,4,4,3,1,1,1,2,1,1,3,2,2
46,1,1,1,2,1,1,1,1,1,2,2,3,3
46,2,2,2,3,1,1,1,2,2,4,3,1,1
46,3,3,3,2,1,1,1,3,2,2,1,1,1
46,4,4,4,3,1,1,1,2,1,1,3,2,2
53,1,1,1,2,1,1,1,1,1,2,2,3,3
53,2,2,2,3,1,1,1,2,2,4,3,1,1
53,3,3,3,2,1,1,1,3,2,2,1,1,1
53,4,4,4,2,1,1,1,2,1,1,3,2,2
40,1,1,1,3,1,1,1,1,1,2,2,3,3
40,2,2,2,2,1,1,1,2,2,4,3,1,1
40,3,3,3,3,1,1,1,3,2,2,1,1,1
40,4,4,4,2,1,1,1,2,1,1,3,2,2
52,1,1,1,3,1,1,1,1,1,2,2,3,3
52,2,2,2,1,1,1,1,2,2,4,3,1,1
52,3,3,3,3,1,1,1,3,2,2,1,1,1
52,4,4,4,3,1,1,1,2,1,1,3,2,2
50,5,1,1,2,1,1,1,3,1,2,1,2,4
50,6,2,2,1,1,1,1,1,3,3,2,1,1
50,7,3,3,2,1,1,1,3,3,3,1,2,2
50,8,4,4,2,1,1,1,3,2,3,2,3,4
18,1,1,1,2,1,1,1,1,1,2,2,3,3
18,2,2,2,1,1,1,1,2,2,4,3,1,1
18,3,3,3,3,1,1,1,3,2,2,1,1,1
18,4,4,4,2,1,1,1,2,1,1,3,2,2
47,5,1,1,3,1,1,1,3,1,2,1,2,4
47,6,2,2,3,1,1,1,1,3,3,2,1,1
47,7,3,3,3,1,1,1,3,3,3,1,2,2
47,8,4,4,3,1,1,1,3,2,3,2,3,4
45,5,1,1,3,1,1,1,3,1,2,1,2,4
45,6,2,2,2,1,1,1,1,3,3,2,1,1
45,7,3,3,2,1,1,1,3,3,3,1,2,2
45,8,4,4,3,1,1,1,3,2,3,2,3,4
62,1,1,1,2,1,1,1,1,1,2,2,3,3
62,2,2,2,3,1,1,1,2,2,4,3,1,1
62,3,3,3,2,1,1,1,3,2,2,1,1,1
62,4,4,4,2,1,1,1,2,1,1,3,2,2
54,1,1,1,3,1,1,1,1,1,2,2,3,3
54,2,2,2,1,1,1,1,2,2,4,3,1,1
54,3,3,3,2,1,1,1,3,2,2,1,1,1
54,4,4,4,2,1,1,1,2,1,1,3,2,2
71,5,1,1,1,1,1,1,3,1,2,1,2,4
71,6,2,2,1,1,1,1,1,3,3,2,1,1
71,7,3,3,1,1,1,1,3,3,3,1,2,2
71,8,4,4,1,1,1,1,3,2,3,2,3,4
41,5,1,1,1,1,1,1,3,1,2,1,2,4
41,6,2,2,1,1,1,1,1,3,3,2,1,1
41,7,3,3,3,1,1,1,3,3,3,1,2,2
41,8,4,4,1,1,1,1,3,2,3,2,3,4
56,5,1,1,3,1,1,1,3,1,2,1,2,4
56,6,2,2,2,1,1,1,1,3,3,2,1,1
56,7,3,3,2,1,1,1,3,3,3,1,2,2
56,8,4,4,3,1,1,1,3,2,3,2,3,4
59,1,1,1,3,1,1,1,1,1,2,2,3,3
59,2,2,2,2,1,1,1,2,2,4,3,1,1
59,3,3,3,2,1,1,1,3,2,2,1,1,1
59,4,4,4,3,1,1,1,2,1,1,3,2,2
83,5,1,1,2,1,1,1,3,1,2,1,2,4
83,6,2,2,1,1,1,1,1,3,3,2,1,1
83,7,3,3,3,1,1,1,3,3,3,1,2,2
83,8,4,4,2,1,1,1,3,2,3,2,3,4
43,5,1,1,2,1,1,1,3,1,2,1,2,4
43,6,2,2,2,1,1,1,1,3,3,2,1,1
43,7,3,3,2,1,1,1,3,3,3,1,2,2
43,8,4,4,3,1,1,1,3,2,3,2,3,4
