RID,DESIGN_ROW,SCENARIO,SEQ,pref1,a1_x1,a1_x2,a1_x3,a2_x1,a2_x2,a2_x3,a3_x1,a3_x2,a3_x3
68,2,2,2,2,1,1,1,2,2,4,3,1,1
68,3,3,3,3,1,1,1,3,2,2,1,1,1
68,4,4,4,3,1,1,1,2,1,1,3,2,2
50,5,1,1,3,1,1,1,3,1,2,1,2,4
50,6,2,2,2,1,1,1,1,3,3,2,1,1
50,7,3,3,3,1,1,1,3,3,3,1,2,2
50,8,4,4,3,1,1,1,3,2,3,2,3,4
28,1,1,1,1,1,1,1,1,1,2,2,3,3
28,2,2,2,1,1,1,1,2,2,4,3,1,1
28,3,3,3,1,1,1,1,3,2,2,1,1,1
28,4,4,4,3,1,1,1,2,1,1,3,2,2
41,1,1,1,1,1,1,1,1,1,2,2,3,3
41,2,2,2,1,1,1,1,2,2,4,3,1,1
41,3,3,3,2,1,1,1,3,2,2,1,1,1
41,4,4,4,3,1,1,1,2,1,1,3,2,2
31,5,1,1,3,1,1,1,3,1,2,1,2,4
31,6,2,2,2,1,1,1,1,3,3,2,1,1
31,7,3,3,3,1,1,1,3,3,3,1,2,2
31,8,4,4,3,1,1,1,3,2,3,2,3,4
36,1,1,1,3,1,1,1,1,1,2,2,3,3
36,2,2,2,1,1,1,1,2,2,4,3,1,1
36,3,3,3,3,1,1,1,3,2,2,1,1,1
36,4,4,4,2,1,1,1,2,1,1,3,2,2
27,5,1,1,3,1,1,1,3,1,2,1,2,4
27,6,2,2,2,1,1,1,1,3,3,2,1,1
27,7,3,3,3,1,1,1,3,3,3,1,2,2
27,8,4,4,3,1,1,1,3,2,3,2,3,4
23,1,1,1,1,1,1,1,1,1,2,2,3,3
23,2,2,2,3,1,1,1,2,2,4,3,1,1
23,3,3,3,3,1,1,1,3,2,2,1,1,1
23,4,4,4,2,1,1,1,2,1,1,3,2,2
80,5,1,1,3,1,1,1,3,1,2,1,2,4
80,6,2,2,2,1,1,1,1,3,3,2,1,1
80,7,3,3,2,1,1,1,3,3,3,1,2,2
80,8,4,4,2,1,1,1,3,2,3,2,3,4
62,5,1,1,3,1,1,1,3,1,2,1,2,4
62,6,2,2,2,1,1,1,1,3,3,2,1,1
62,7,3,3,3,1,1,1,3,3,3,1,2,2
62,8,4,4,3,1,1,1,3,2,3,2,3,4
32,1,1,1,3,1,1,1,1,1,2,2,3,3
32,2,2,2,1,1,1,1,2,2,4,3,1,1
32,3,3,3,3,1,1,1,3,2,2,1,1,1
32,4,4,4,3,1,1,1,2,1,1,3,2,2
9,1,1,1,2,1,1,1,1,1,2,2,3,3
9,2,2,2,3,1,1,1,2,2,4,3,1,1
9,3,3,3,3,1,1,1,3,2,2,1,1,1
9,4,4,4,2,1,1,1,2,1,1,3,2,2
75,5,1,1,3,1,1,1,3,1,2,1,2,4
75,6,2,2,2,1,1,1,1,3,3,2,1,1
75,7,3,3,3,1,1,1,3,3,3,1,2,2
75,8,4,4,3,1,1,1,3,2,3,2,3,4
24,5,1,1,3,1,1,1,3,1,2,1,2,4
24,6,2,2,3,1,1,1,1,3,3,2,1,1
24,7,3,3,3,1,1,1,3,3,3,1,2,2
24,8,4,4,3,1,1,1,3,2,3,2,3,4
43,1,1,1,3,1,1,1,1,1,2,2,3,3
43,2,2,2,2,1,1,1,2,2,4,3,1,1
43,3,3,3,2,1,1,1,3,2,2,1,1,1
43,4,4,4,3,1,1,1,2,1,1,3,2,2
65,5,1,1,3,1,1,1,3,1,2,1,2,4
65,6,2,2,2,1,1,1,1,3,3,2,1,1
65,7,3,3,2,1,1,1,3,3,3,1,2,2
65,8,4,4,3,1,1,1,3,2,3,2,3,4
69,1,1,1,3,1,1,1,1,1,2,2,3,3
69,2,2,2,1,1,1,1,2,2,4,3,1,1
69,3,3,3,2,1,1,1,3,2,2,1,1,1
69,4,4,4,2,1,1,1,2,1,1,3,2,2
55,1,1,1,2,1,1,1,1,1,2,2,3,3
55,2,2,2,1,1,1,1,2,2,4,3,1,1
55,3,3,3,3,1,1,1,3,2,2,1,1,1
55,4,4,4,2,1,1,1,2,1,1,3,2,2
67,1,1,1,3,1,1,1,1,1,2,2,3,3
67,2,2,2,2,1,1,1,2,2,4,3,1,1
67,3,3,3,2,1,1,1,3,2,2,1,1,1
67,4,4,4,3,1,1,1,2,1,1,3,2,2
14,5,1,1,1,1,1,1,3,1,2,1,2,4
14,6,2,2,1,1,1,1,1,3,3,2,1,1
14,7,3,3,1,1,1,1,3,3,3,1,2,2
14,8,4,4,1,1,1,1,3,2,3,2,3,4
42,5,1,1,1,1,1,1,3,1,2,1,2,4
42,6,2,2,3,1,1,1,1,3,3,2,1,1
42,7,3,3,3,1,1,1,3,3,3,1,2,2
42,8,4,4,1,1,1,1,3,2,3,2,3,4
51,1,1,1,3,1,1,1,1,1,2,2,3,3
51,2,2,2,1,1,1,1,2,2,4,3,1,1
51,3,3,3,3,1,1,1,3,2,2,1,1,1
51,4,4,4,1,1,1,1,2,1,1,3,2,2
34,1,1,1,3,1,1,1,1,1,2,2,3,3
34,2,2,2,3,1,1,1,2,2,4,3,1,1
34,3,3,3,2,1,1,1,3,2,2,1,1,1
34,4,4,4,3,1,1,1,2,1,1,3,2,2
38,1,1,1,2,1,1,1,1,1,2,2,3,3
38,2,2,2,2,1,1,1,2,2,4,3,1,1
38,3,3,3,2,1,1,1,3,2,2,1,1,1
38,4,4,4,3,1,1,1,2,1,1,3,2,2
66,5,1,1,2,1,1,1,3,1,2,1,2,4
66,6,2,2,3,1,1,1,1,3,3,2,1,1
66,7,3,3,3,1,1,1,3,3,3,1,2,2
66,8,4,4,2,1,1,1,3,2,3,2,3,4
57,5,1,1,3,1,1,1,3,1,2,1,2,4
57,6,2,2,2,1,1,1,1,3,3,2,1,1
57,7,3,3,2,1,1,1,3,3,3,1,2,2
57,8,4,4,3,1,1,1,3,2,3,2,3,4
33,5,1,1,3,1,1,1,3,1,2,1,2,4
33,6,2,2,2,1,1,1,1,3,3,2,1,1
33,7,3,3,3,1,1,1,3,3,3,1,2,2
33,8,4,4,3,1,1,1,3,2,3,2,3,4
63,1,1,1,3,1,1,1,1,1,2,2,3,3
63,2,2,2,2,1,1,1,2,2,4,3,1,1
63,3,3,3,3,1,1,1,3,2,2,1,1,1
63,4,4,4,2,1,1,1,2,1,1,3,2,2
60,5,1,1,3,1,1,1,3,1,2,1,2,4
60,6,2,2,2,1,1,1,1,3,3,2,1,1
60,7,3,3,3,1,1,1,3,3,3,1,2,2
60,8,4,4,3,1,1,1,3,2,3,2,3,4
74,1,1,1,2,1,1,1,1,1,2,2,3,3
74,2,2,2,3,1,1,1,2,2,4,3,1,1
74,3,3,3,2,1,1,1,3,2,2,1,1,1
74,4,4,4,3,1,1,1,2,1,1,3,2,2
19,1,1,1,2,1,1,1,1,1,2,2,3,3
19,2,2,2,1,1,1,1,2,2,4,3,1,1
19,3,3,3,3,1,1,1,3,2,2,1,1,1
19,4,4,4,2,1,1,1,2,1,1,3,2,2
64,1,1,1,3,1,1,1,1,1,2,2,3,3
64,2,2,2,2,1,1,1,2,2,4,3,1,1
64,3,3,3,3,1,1,1,3,2,2,1,1,1
64,4,4,4,2,1,1,1,2,1,1,3,2,2
73,1,1,1,2,1,1,1,1,1,2,2,3,3
73,2,2,2,2,1,1,1,2,2,4,3,1,1
73,3,3,3,3,1,1,1,3,2,2,1,1,1
73,4,4,4,2,1,1,1,2,1,1,3,2,2
79,1,1,1,2,1,1,1,1,1,2,2,3,3
79,2,2,2,1,1,1,1,2,2,4,3,1,1
79,3,3,3,2,1,1,1,3,2,2,1,1,1
79,4,4,4,3,1,1,1,2,1,1,3,2,2
71,1,1,1,3,1,1,1,1,1,2,2,3,3
71,2,2,2,1,1,1,1,2,2,4,3,1,1
71,3,3,3,3,1,1,1,3,2,2,1,1,1
71,4,4,4,2,1,1,1,2,1,1,3,2,2
16,1,1,1,2,1,1,1,1,1,2,2,3,3
16,2,2,2,2,1,1,1,2,2,4,3,1,1
16,3,3,3,3,1,1,1,3,2,2,1,1,1
16,4,4,4,2,1,1,1,2,1,1,3,2,2
81,1,1,1,3,1,1,1,1,1,2,2,3,3
81,2,2,2,3,1,1,1,2,2,4,3,1,1
81,3,3,3,3,1,1,1,3,2,2,1,1,1
81,4,4,4,3,1,1,1,2,1,1,3,2,2
44,1,1,1,3,1,1,1,1,1,2,2,3,3
44,2,2,2,2,1,1,1,2,2,4,3,1,1
44,3,3,3,2,1,1,1,3,2,2,1,1,1
44,4,4,4,2,1,1,1,2,1,1,3,2,2
89,5,1,1,2,1,1,1,3,1,2,1,2,4
89,6,2,2,3,1,1,1,1,3,3,2,1,1
89,7,3,3,3,1,1,1,3,3,3,1,2,2
89,8,4,4,2,1,1,1,3,2,3,2,3,4
84,5,1,1,3,1,1,1,3,1,2,1,2,4
84,6,2,2,2,1,1,1,1,3,3,2,1,1
84,7,3,3,3,1,1,1,3,3,3,1,2,2
84,8,4,4,3,1,1,1,3,2,3,2,3,4
88,1,1,1,3,1,1,1,1,1,2,2,3,3
88,2,2,2,1,1,1,1,2,2,4,3,1,1
88,3,3,3,1,1,1,1,3,2,2,1,1,1
88,4,4,4,1,1,1,1,2,1,1,3,2,2
82,1,1,1,3,1,1,1,1,1,2,2,3,3
82,2,2,2,1,1,1,1,2,2,4,3,1,1
82,3,3,3,3,1,1,1,3,2,2,1,1,1
82,4,4,4,2,1,1,1,2,1,1,3,2,2
97,5,1,1,3,1,1,1,3,1,2,1,2,4
97,6,2,2,2,1,1,1,1,3,3,2,1,1
97,7,3,3,3,1,1,1,3,3,3,1,2,2
97,8,4,4,2,1,1,1,3,2,3,2,3,4
94,5,1,1,3,1,1,1,3,1,2,1,2,4
94,6,2,2,2,1,1,1,1,3,3,2,1,1
94,7,3,3,3,1,1,1,3,3,3,1,2,2
94,8,4,4,1,1,1,1,3,2,3,2,3,4
39,5,1,1,3,1,1,1,3,1,2,1,2,4
39,6,2,2,2,1,1,1,1,3,3,2,1,1
39,7,3,3,3,1,1,1,3,3,3,1,2,2
39,8,4,4,3,1,1,1,3,2,3,2,3,4
83,5,1,1,3,1,1,1,3,1,2,1,2,4
83,6,2,2,2,1,1,1,1,3,3,2,1,1
83,7,3,3,2,1,1,1,3,3,3,1,2,2
83,8,4,4,3,1,1,1,3,2,3,2,3,4
98,5,1,1,2,1,1,1,3,1,2,1,2,4
98,6,2,2,2,1,1,1,1,3,3,2,1,1
98,7,3,3,2,1,1,1,3,3,3,1,2,2
98,8,4,4,2,1,1,1,3,2,3,2,3,4
30,5,1,1,3,1,1,1,3,1,2,1,2,4
30,6,2,2,2,1,1,1,1,3,3,2,1,1
30,7,3,3,3,1,1,1,3,3,3,1,2,2
30,8,4,4,3,1,1,1,3,2,3,2,3,4
90,1,1,1,1,1,1,1,1,1,2,2,3,3
90,2,2,2,1,1,1,1,2,2,4,3,1,1
90,3,3,3,1,1,1,1,3,2,2,1,1,1
90,4,4,4,1,1,1,1,2,1,1,3,2,2
53,1,1,1,3,1,1,1,1,1,2,2,3,3
53,2,2,2,3,1,1,1,2,2,4,3,1,1
53,3,3,3,2,1,1,1,3,2,2,1,1,1
53,4,4,4,2,1,1,1,2,1,1,3,2,2
76,1,1,1,1,1,1,1,1,1,2,2,3,3
76,2,2,2,1,1,1,1,2,2,4,3,1,1
76,3,3,3,1,1,1,1,3,2,2,1,1,1
76,4,4,4,1,1,1,1,2,1,1,3,2,2
70,1,1,1,2,1,1,1,1,1,2,2,3,3
70,2,2,2,3,1,1,1,2,2,4,3,1,1
