Variable,Estimate,Std..Error,z.value,P.values
X.Intercept.,-1.361,0.117,-11.636,<0.001***
AgeDummy,0.052,0.039,1.328,0.184
EthnicityDummy,0.091,0.057,1.614,0.107
Gender_Dummy,-0.007,0.038,-0.18,0.857
Charity,0.088,0.042,2.118,0.034**
Education_HigherEd,-0.001,0.039,-0.02,0.984
Q16_ClimateCurrentEnvironment,-0.065,0.015,-4.209,<0.001***
Q16_ClimateCurrentSelf,-0.009,0.013,-0.67,0.503
Q16_MicroplasticsCurrentEnvironment,0.124,0.017,7.407,<0.001***
Q16_MicroplasticsCurrentSelf,0.093,0.015,6.379,<0.001***
Q16_MicroplasticsTen,0.108,0.021,5.141,<0.001***
Q16_MicroplasticsTwentyFive,0.07,0.03,2.374,0.018**
Q16_MicroplasticsFifty,-0.03,0.022,-1.406,0.160
X.Intercept..1,0.673,0.094,7.195,<0.001***
as.factor.Uncertainty.1,1.42,0.101,14.099,<0.001***
as.factor.Uncertainty.3,1.554,0.119,13.049,<0.001***
as.factor.Uncertainty.5,1.581,0.157,10.083,<0.001***
S1_AIC,-2608.862,0,0,0
S1_LogLik,1321.431,0,0,0
S1_PseudoR2,0.209,0,0,0
